title;authors;summary;categories;year;keywords
ClimaBench: A Benchmark Dataset For Climate Change Text Understanding in English;[arxiv.Result.Author('Tanmay Laud'), arxiv.Result.Author('Daniel Spokoyny'), arxiv.Result.Author('Tom Corringham'), arxiv.Result.Author('Taylor Berg-Kirkpatrick')];"The topic of Climate Change (CC) has received limited attention in NLP
despite its real world urgency. Activists and policy-makers need NLP tools in
order to effectively process the vast and rapidly growing textual data produced
on CC. Their utility, however, primarily depends on whether the current
state-of-the-art models can generalize across various tasks in the CC domain.
In order to address this gap, we introduce Climate Change Benchmark
(ClimaBench), a benchmark collection of existing disparate datasets for
evaluating model performance across a diverse set of CC NLU tasks
systematically. Further, we enhance the benchmark by releasing two large-scale
labelled text classification and question-answering datasets curated from
publicly available environmental disclosures. Lastly, we provide an analysis of
several generic and CC-oriented models answering whether fine-tuning on domain
text offers any improvements across these tasks. We hope this work provides a
standard assessment tool for research on CC text data.";['cs.CL', 'cs.AI', 'cs.IR', 'cs.LG'];2023;[(4.0, 'work provides'), (3.0, 'whether'), (1.0, 'vast'), (1.0, 'utility'), (1.0, 'tuning')]
Topic Modelling of Swedish Newspaper Articles about Coronavirus: a Case Study using Latent Dirichlet Allocation Method;[arxiv.Result.Author('Bernadeta Griciūtė'), arxiv.Result.Author('Lifeng Han'), arxiv.Result.Author('Alexander Koller'), arxiv.Result.Author('Goran Nenadic')];"Topic Modelling (TM) is from the research branches of natural language
understanding (NLU) and natural language processing (NLP) that is to facilitate
insightful analysis from large documents and datasets, such as a summarisation
of main topics and the topic changes. This kind of discovery is getting more
popular in real-life applications due to its impact on big data analytics. In
this study, from the social-media and healthcare domain, we apply popular
Latent Dirichlet Allocation (LDA) methods to model the topic changes in Swedish
newspaper articles about Coronavirus. We describe the corpus we created
including 6515 articles, methods applied, and statistics on topic changes over
approximately 1 year and two months period of time from 17th January 2020 to
13th March 2021. We hope this work can be an asset for grounding applications
of topic modelling and can be inspiring for similar case studies in an era with
pandemics, to support socio-economic impact research as well as clinical and
healthcare analytics. Our data is openly available at https://github.
com/poethan/Swed_Covid_TM Keywords: Latent Dirichlet Allocation (LDA); Topic
Modelling; Coronavirus; Pandemics; Natural Language Understanding";['cs.CL', 'cs.SI'];2023;[(1.0, 'work'), (1.0, 'well'), (9.0, 'two months period'), (5.0, 'topic modelling'), (5.0, 'topic modelling')]
A new conversational interaction concept for document creation and editing on mobile devices for visually impaired users;[arxiv.Result.Author('Alireza Darvishy'), arxiv.Result.Author('Hans-Peter Hutter'), arxiv.Result.Author('Edin Beljulji'), arxiv.Result.Author('Zeno Heeb')];"This paper describes the ongoing development of a conversational interaction
concept that allows visually impaired users to easily create and edit text
documents on mobile devices using mainly voice input. In order to verify the
concept, a prototype app was developed and tested for both iOS and Android
systems, based on the natural-language understanding (NLU) platform Google
Dialogflow. The app and interaction concept were repeatedly tested by users
with and without visual impairments. Based on their feedback, the concept was
continuously refined, adapted and improved on both mobile platforms. In an
iterative user-centred design approach, the following research questions were
investigated: Can a visually impaired user rely mainly on speech commands to
efficiently create and edit a document on mobile devices? User testing found
that an interaction concept based on conversational speech commands was easy
and intuitive for visually impaired users. However, it was also found that
relying on speech commands alone created its own obstacles, and that a
combination of gestures and voice interaction would be more robust. Future
research and more extensive useability tests should be carried out among
visually impaired users in order to optimize the interaction concept.";['cs.HC'];2023;[(9.0, 'without visual impairments'), (10.1, 'voice interaction would'), (11.0, 'visually impaired users'), (21.833333333333336, 'visually impaired user rely mainly'), (1.0, 'verify')]
Language Models are Drummers: Drum Composition with Natural Language Pre-Training;[arxiv.Result.Author('Li Zhang'), arxiv.Result.Author('Chris Callison-Burch')];"Automatic music generation with artificial intelligence typically requires a
large amount of data which is hard to obtain for many less common genres and
musical instruments. To tackle this issue, we present ongoing work and
preliminary findings on the possibility for deep models to transfer knowledge
from language to music, by finetuning large language models pre-trained on a
massive text corpus on only hundreds of MIDI files of drum performances. We
show that by doing so, one of the largest, state-of-the-art models (GPT3) is
capable of generating reasonable drum grooves, while models that are not
pre-trained (Transformer) shows no such ability beyond naive repetition.
Evaluating generated music is a challenging task, more so is evaluating drum
grooves with little precedence in literature. Hence, we propose a tailored
structural evaluation method and analyze drum grooves produced by GPT3 compared
to those played by human professionals, exposing the strengths and weaknesses
of such generation by language-to-music transfer. Our findings suggest that
language-to-music transfer learning with large language models is viable and
promising.";['cs.SD', 'cs.CL', 'eess.AS'];2023;[(1.0, 'weaknesses'), (1.0, 'viable'), (1.0, 'transformer'), (4.333333333333334, 'transfer knowledge'), (1.0, 'trained')]
Cross-Model Comparative Loss for Enhancing Neuronal Utility in Language Understanding;[arxiv.Result.Author('Yunchang Zhu'), arxiv.Result.Author('Liang Pang'), arxiv.Result.Author('Kangxi Wu'), arxiv.Result.Author('Yanyan Lan'), arxiv.Result.Author('Huawei Shen'), arxiv.Result.Author('Xueqi Cheng')];"Current natural language understanding (NLU) models have been continuously
scaling up, both in terms of model size and input context, introducing more
hidden and input neurons. While this generally improves performance on average,
the extra neurons do not yield a consistent improvement for all instances. This
is because some hidden neurons are redundant, and the noise mixed in input
neurons tends to distract the model. Previous work mainly focuses on
extrinsically reducing low-utility neurons by additional post- or
pre-processing, such as network pruning and context selection, to avoid this
problem. Beyond that, can we make the model reduce redundant parameters and
suppress input noise by intrinsically enhancing the utility of each neuron? If
a model can efficiently utilize neurons, no matter which neurons are ablated
(disabled), the ablated submodel should perform no better than the original
full model. Based on such a comparison principle between models, we propose a
cross-model comparative loss for a broad range of tasks. Comparative loss is
essentially a ranking loss on top of the task-specific losses of the full and
ablated models, with the expectation that the task-specific loss of the full
model is minimal. We demonstrate the universal effectiveness of comparative
loss through extensive experiments on 14 datasets from 3 distinct NLU tasks
based on 4 widely used pretrained language models, and find it particularly
superior for models with few parameters or long input.";['cs.CL', 'cs.IR', 'cs.LG'];2023;[(1.0, 'yield'), (3.642857142857143, 'utility neurons'), (1.5, 'utility'), (4.0, 'universal effectiveness'), (1.0, 'top')]
Are All Steps Equally Important? Benchmarking Essentiality Detection of Events;[arxiv.Result.Author('Hongming Zhang'), arxiv.Result.Author('Yueguan Wang'), arxiv.Result.Author('Yuqian Deng'), arxiv.Result.Author('Haoyu Wang'), arxiv.Result.Author('Muhao Chen'), arxiv.Result.Author('Dan Roth')];"Natural language often describes events in different granularities, such that
more coarse-grained (goal) events can often be decomposed into fine-grained
sequences of (step) events. A critical but overlooked challenge in
understanding an event process lies in the fact that the step events are not
equally important to the central goal. In this paper, we seek to fill this gap
by studying how well current models can understand the essentiality of
different step events towards a goal event. As discussed by cognitive studies,
such an ability enables the machine to mimic human's commonsense reasoning
about preconditions and necessary efforts of daily-life tasks. Our work
contributes with a high-quality corpus of (goal, step) pairs from a community
guideline website WikiHow, where the steps are manually annotated with their
essentiality w.r.t. the goal. The high IAA indicates that humans have a
consistent understanding of the events. Despite evaluating various statistical
and massive pre-trained NLU models, we observe that existing SOTA models all
perform drastically behind humans, indicating the need for future investigation
of this crucial yet challenging task.";['cs.CL', 'cs.AI'];2022;[(4.0, 'work contributes'), (9.0, 'well current models'), (1.5, 'understanding'), (1.0, 'understand'), (9.0, 'trained nlu models')]
"Machine Reading, Fast and Slow: When Do Models ""Understand"" Language?";[arxiv.Result.Author('Sagnik Ray Choudhury'), arxiv.Result.Author('Anna Rogers'), arxiv.Result.Author('Isabelle Augenstein')];"Two of the most fundamental challenges in Natural Language Understanding
(NLU) at present are: (a) how to establish whether deep learning-based models
score highly on NLU benchmarks for the 'right' reasons; and (b) to understand
what those reasons would even be. We investigate the behavior of reading
comprehension models with respect to two linguistic 'skills': coreference
resolution and comparison. We propose a definition for the reasoning steps
expected from a system that would be 'reading slowly', and compare that with
the behavior of five models of the BERT family of various sizes, observed
through saliency scores and counterfactual explanations. We find that for
comparison (but not coreference) the systems based on larger encoders are more
likely to rely on the 'right' information, but even they struggle with
generalization, suggesting that they still learn specific lexical patterns
rather than the general principles of comparison.";['cs.CL'];2022;[(2.0, 'would'), (4.0, 'various sizes'), (1.0, 'understand'), (3.5, 'two linguistic'), (1.5, 'two')]
Adaptive Natural Language Generation for Task-oriented Dialogue via Reinforcement Learning;[arxiv.Result.Author('Atsumoto Ohashi'), arxiv.Result.Author('Ryuichiro Higashinaka')];"When a natural language generation (NLG) component is implemented in a
real-world task-oriented dialogue system, it is necessary to generate not only
natural utterances as learned on training data but also utterances adapted to
the dialogue environment (e.g., noise from environmental sounds) and the user
(e.g., users with low levels of understanding ability). Inspired by recent
advances in reinforcement learning (RL) for language generation tasks, we
propose ANTOR, a method for Adaptive Natural language generation for
Task-Oriented dialogue via Reinforcement learning. In ANTOR, a natural language
understanding (NLU) module, which corresponds to the user's understanding of
system utterances, is incorporated into the objective function of RL. If the
NLG's intentions are correctly conveyed to the NLU, which understands a
system's utterances, the NLG is given a positive reward. We conducted
experiments on the MultiWOZ dataset, and we confirmed that ANTOR could generate
adaptive utterances against speech recognition errors and the different
vocabulary levels of users.";['cs.CL', 'cs.AI'];2022;[(3.5, 'world task'), (2.6, 'utterances'), (2.0, 'users'), (1.0, 'user'), (1.0, 'user')]
Less is Better: Recovering Intended-Feature Subspace to Robustify NLU Models;[arxiv.Result.Author('Ting Wu'), arxiv.Result.Author('Tao Gui')];"Datasets with significant proportions of bias present threats for training a
trustworthy model on NLU tasks. Despite yielding great progress, current
debiasing methods impose excessive reliance on the knowledge of bias
attributes. Definition of the attributes, however, is elusive and varies across
different datasets. Furthermore, leveraging these attributes at input level to
bias mitigation may leave a gap between intrinsic properties and the underlying
decision rule. To narrow down this gap and liberate the supervision on bias, we
suggest extending bias mitigation into feature space. Therefore, a novel model,
Recovering Intended-Feature Subspace with Knowledge-Free (RISK) is developed.
Assuming that shortcut features caused by various biases are unintended for
prediction, RISK views them as redundant features. When delving into a lower
manifold to remove redundancies, RISK reveals that an extremely low-dimensional
subspace with intended features can robustly represent the highly biased
dataset. Empirical results demonstrate our model can consistently improve model
generalization to out-of-distribution set, and achieves a new state-of-the-art
performance.";['cs.CL', 'cs.AI', 'cs.LG'];2022;[(4.0, 'various biases'), (14.5, 'varies across different datasets'), (1.0, 'unintended'), (9.0, 'underlying decision rule'), (4.25, 'trustworthy model')]
Representing Affect Information in Word Embeddings;[arxiv.Result.Author('Yuhan Zhang'), arxiv.Result.Author('Wenqi Chen'), arxiv.Result.Author('Ruihan Zhang'), arxiv.Result.Author('Xiajie Zhang')];"A growing body of research in natural language processing (NLP) and natural
language understanding (NLU) is investigating human-like knowledge learned or
encoded in the word embeddings from large language models. This is a step
towards understanding what knowledge language models capture that resembles
human understanding of language and communication. Here, we investigated
whether and how the affect meaning of a word (i.e., valence, arousal,
dominance) is encoded in word embeddings pre-trained in large neural networks.
We used the human-labeled dataset as the ground truth and performed various
correlational and classification tests on four types of word embeddings. The
embeddings varied in being static or contextualized, and how much affect
specific information was prioritized during the pre-training and fine-tuning
phase. Our analyses show that word embedding from the vanilla BERT model did
not saliently encode the affect information of English words. Only when the
BERT model was fine-tuned on emotion-related tasks or contained extra
contextualized information from emotion-rich contexts could the corresponding
embedding encode more relevant affect information.";['cs.CL'];2022;[(6.25, 'word embeddings pre'), (4.25, 'word embeddings'), (4.25, 'word embeddings'), (4.5, 'word embedding'), (2.0, 'word')]
